الوقت (ث),درجة الحرارة (°C)
1282.79,20.97
1286.09,20.97
1289.4,21.0
1292.7,20.97
1295.99,20.97
1299.29,20.97
1302.59,20.97
1305.89,20.97
1309.19,20.97
1312.49,21.0
1315.79,21.0
1319.09,21.0
1322.39,21.0
1325.68,20.97
1328.98,20.97
1332.28,20.97
1335.58,20.97
1338.88,21.0
1342.18,20.97
1345.47,21.0
1348.78,21.0
1352.07,21.0
1355.37,21.0
1358.68,21.0
1361.97,21.0
1365.27,21.0
1368.57,21.0
1371.87,21.0
1375.17,21.0
1378.47,21.0
1381.77,21.0
1385.07,21.0
1388.37,21.0
1391.66,21.0
1394.96,21.0
1398.26,21.0
1401.56,21.0
1404.86,21.0
1408.16,21.0
1411.46,21.0
1414.75,21.0
1418.06,21.0
1421.35,21.0
1424.65,21.0
1427.95,21.0
1431.26,21.0
1434.55,21.0
1437.85,21.0
1441.15,21.03
1444.45,21.03
1447.75,21.03
1451.04,21.03
1454.35,21.03
1457.65,21.03
1460.94,21.03
1464.24,21.03
1467.54,21.03
1470.84,21.03
1474.14,21.03
1477.44,21.03
1480.74,21.03
1484.04,21.03
1487.34,21.03
1490.64,21.03
1493.93,21.03
1497.24,21.03
1500.53,21.03
1503.83,21.03
1507.12,21.03
1510.42,21.03
1513.73,21.07
1517.02,21.03
1520.32,21.03
1523.63,21.03
1526.93,21.03
1530.22,21.03
1533.52,21.03
1536.82,21.07
1540.12,21.03
1543.42,21.07
1546.71,21.03
1550.01,21.07
1553.31,21.07
1556.61,21.07
1559.92,21.07
1563.21,21.07
1566.51,21.07
1569.8,21.07
1573.11,21.07
1576.41,21.07
1579.71,21.07
1583.0,21.07
1586.31,21.07
1589.6,21.07
1592.9,21.07
1596.2,21.07
1599.5,21.07
1602.79,21.07
1606.09,21.07
1609.4,21.07
1612.7,21.07
1615.99,21.07
1619.29,21.07
1622.59,21.07
1625.89,21.1
1629.19,21.1
