الوقت (ث),درجة الحرارة (°C)
2.8,21.2
6.09,21.2
9.39,21.2
12.7,21.2
15.99,21.2
19.29,23.87
22.59,29.39
25.89,31.25
29.19,32.3
32.49,32.54
35.78,31.36
39.09,30.37
42.38,29.66
45.68,29.15
48.98,28.88
52.29,28.68
55.58,28.51
58.88,28.34
62.18,28.21
65.48,28.0
68.77,27.83
72.08,27.73
75.37,27.6
78.68,27.49
81.97,27.36
85.27,27.26
88.56,27.16
91.87,27.05
95.17,26.92
98.47,26.82
101.76,26.72
105.07,26.61
108.37,26.48
111.67,26.41
114.97,26.34
118.26,26.24
121.56,26.17
124.86,26.07
128.16,26.01
131.46,25.9
134.76,25.87
138.06,25.77
141.36,25.7
144.65,25.67
147.96,25.6
151.25,25.5
154.55,25.46
157.84,25.43
161.15,25.36
164.44,25.33
167.75,25.29
171.05,25.26
174.35,25.23
177.64,25.19
180.94,25.16
184.24,25.09
187.54,25.06
190.84,25.02
194.14,24.99
197.43,24.96
200.74,24.92
204.03,24.85
207.34,24.82
210.64,24.79
213.93,24.75
217.23,24.72
220.53,24.69
223.83,24.65
227.13,24.62
230.42,24.58
233.72,24.55
237.02,24.55
240.33,24.52
243.62,24.52
246.92,24.45
250.22,24.45
253.51,24.45
256.82,24.42
260.11,24.38
263.42,24.38
266.71,24.38
270.02,24.35
273.31,24.31
276.62,24.31
279.91,24.31
283.21,24.31
286.51,24.28
289.8,24.28
293.11,24.31
296.4,24.35
299.71,24.31
303.0,24.31
306.3,24.31
309.6,24.35
312.9,24.31
316.2,24.31
319.49,24.31
322.79,24.35
326.1,24.35
329.4,24.35
332.7,24.31
336.0,24.35
339.29,24.31
342.59,24.35
345.89,24.31
349.19,24.31
352.49,24.31
355.79,24.31
359.08,24.31
362.39,24.31
365.69,24.31
368.98,24.31
372.28,24.31
375.58,24.31
378.88,24.31
382.18,24.31
385.48,24.31
388.78,24.35
392.08,24.31
395.37,24.35
398.67,24.35
401.97,24.35
405.28,24.35
408.57,24.35
411.87,24.35
415.17,24.35
418.46,24.35
421.77,24.35
425.07,24.31
428.36,24.31
431.67,24.31
434.96,24.31
438.27,24.31
441.57,24.31
444.86,24.31
448.16,24.31
451.46,24.35
454.76,24.31
458.06,24.31
461.36,24.35
464.66,24.35
467.96,24.35
471.25,24.35
474.56,24.35
477.85,24.35
481.14,24.35
484.45,24.31
487.75,24.35
491.05,24.35
497.65,24.35
500.95,24.35
504.25,24.35
507.54,24.35
510.84,24.35
514.14,24.35
517.43,24.38
520.75,24.35
524.03,24.35
527.34,24.38
530.64,24.38
533.94,24.38
537.23,24.38
540.53,24.38
543.83,24.38
547.13,24.38
550.43,24.38
553.72,24.38
557.02,24.38
560.32,24.35
563.62,24.35
566.93,24.35
570.23,24.38
573.53,24.35
576.83,24.35
580.12,24.35
583.42,24.38
586.72,24.35
590.02,24.35
593.31,24.38
596.62,24.38
